transaction_id,line_number,product_id,category,unit_cost,unit_price,promo_price,qty,line_subtotal,line_discount,line_total,promo_id,promo_type,__line_total_std,__line_subtotal_std,__line_discount_std,__tid_num
T00011233,4,P01358,Dairy & Eggs,1.71,2.77,,1,2.77,-0.01,2.78,,,2.78,2.77,-0.01,11233.0
T00011234,1,P00390,Frozen Foods,6.25,9.47,,1,9.47,-0.02,9.49,,,9.49,9.47,-0.02,11234.0
T00011234,2,P00378,Snacks/Cookies/Chips,1.9,2.96,,1,2.96,-0.01,2.97,,,2.97,2.96,-0.01,11234.0
T00011234,3,P00516,Dairy & Eggs,3.54,4.62,,1,4.62,-0.01,4.63,,,4.63,4.62,-0.01,11234.0
T00011235,1,P00945,Snacks/Cookies/Chips,2.95,4.04,,3,12.12,0.07,12.05,,,12.05,12.12,0.07,11235.0
T00011236,1,P01388,Prepared Meals,4.12,6.73,,1,6.73,-0.01,6.74,,,6.74,6.73,-0.01,11236.0
T00011236,2,P00637,Dairy & Eggs,2.64,4.2,2.98,1,4.2,1.21,2.99,PR00110,PERCENT_OFF,2.99,4.2,1.21,11236.0
T00011237,1,P01148,Beverages,1.54,2.2,,1,2.2,0.0,2.2,,,2.2,2.2,0.0,11237.0
T00011237,2,P01316,Alcohol,10.02,13.33,,1,13.33,-0.02,13.35,,,13.35,13.33,-0.02,11237.0
T00011237,3,P00948,Alcohol,8.4,10.99,,1,10.99,-0.02,11.01,,,11.01,10.99,-0.02,11237.0
T00011238,1,P00485,Prepared Meals,8.04,10.23,,1,10.23,-0.02,10.25,,,10.25,10.23,-0.02,11238.0
T00011238,2,P00557,Candy,1.71,2.94,,1,2.94,-0.01,2.95,,,2.95,2.94,-0.01,11238.0
T00011238,3,P00276,Alcohol,8.37,11.36,,1,11.36,-0.02,11.38,,,11.38,11.36,-0.02,11238.0
T00011238,4,P00560,Baking,2.8,4.18,,2,8.36,-0.01,8.37,,,8.37,8.36,-0.01,11238.0
T00011238,5,P00276,Alcohol,8.37,11.36,,1,11.36,-0.02,11.38,,,11.38,11.36,-0.02,11238.0
T00011239,1,P00945,Snacks/Cookies/Chips,2.95,4.04,,1,4.04,0.01,4.03,,,4.03,4.04,0.01,11239.0
T00011239,2,P00768,Alcohol,6.29,11.13,,1,11.13,0.02,11.11,,,11.11,11.13,0.02,11239.0
T00011240,1,P00446,Meat and Seafood,9.23,14.01,,1,14.01,0.08,13.93,,,13.93,14.01,0.08,11240.0
T00011240,2,P01444,Breakfast & Cereal,4.99,7.59,,1,7.59,0.05,7.54,,,7.54,7.59,0.05,11240.0
T00011240,3,P00613,Condiments/Sauces/Spices,2.36,3.96,,2,7.92,0.05,7.87,,,7.87,7.92,0.05,11240.0
T00011241,1,P00244,Breakfast & Cereal,3.68,5.12,,1,5.12,-0.01,5.13,,,5.13,5.12,-0.01,11241.0
T00011241,2,P01076,Deli,3.71,6.67,6.27,1,6.67,0.39,6.28,PR00005,BUNDLE,6.28,6.67,0.39,11241.0
T00011241,3,P00798,Baking,2.12,2.95,,1,2.95,-0.01,2.96,,,2.96,2.95,-0.01,11241.0
T00011242,1,P00559,Beverages,2.36,3.15,,1,3.15,-0.01,3.16,,,3.16,3.15,-0.01,11242.0
T00011242,2,P00005,Beverages,2.47,4.45,,1,4.45,-0.01,4.46,,,4.46,4.45,-0.01,11242.0
T00011242,3,P01466,Prepared Meals,5.91,7.87,,1,7.87,-0.01,7.88,,,7.88,7.87,-0.01,11242.0
T00011242,4,P00486,Breakfast & Cereal,2.85,4.27,,3,12.81,-0.02,12.83,,,12.83,12.81,-0.02,11242.0
T00011243,1,P00903,Snacks/Cookies/Chips,2.37,3.37,,1,3.37,0.01,3.36,,,3.36,3.37,0.01,11243.0
T00011243,2,P00378,Snacks/Cookies/Chips,1.9,2.96,,1,2.96,0.01,2.95,,,2.95,2.96,0.01,11243.0
T00011243,3,P01029,Snacks/Cookies/Chips,2.65,3.93,,2,7.86,0.02,7.84,,,7.84,7.86,0.02,11243.0
T00011243,4,P00206,Dairy & Eggs,1.94,2.46,2.24,1,2.46,0.22,2.24,PR00113,BUNDLE,2.24,2.46,0.22,11243.0
T00011244,1,P00653,Pet Food,6.07,10.53,,3,31.59,0.19,31.4,,,31.4,31.59,0.19,11244.0
T00011244,2,P00371,Alcohol,6.38,9.32,,1,9.32,0.06,9.26,,,9.26,9.32,0.06,11244.0
T00011244,3,P00027,Pet Food,4.4,6.8,,2,13.6,0.08,13.52,,,13.52,13.6,0.08,11244.0
T00011244,4,P00659,Grains and Pasta,2.53,3.37,,3,10.11,0.06,10.05,,,10.05,10.11,0.06,11244.0
T00011244,5,P01079,Deli,3.46,5.87,,1,5.87,0.03,5.84,,,5.84,5.87,0.03,11244.0
T00011245,1,P00985,Snacks/Cookies/Chips,1.79,2.37,,2,4.74,-0.02,4.76,,,4.76,4.74,-0.02,11245.0
T00011246,1,P00856,Baking,2.75,4.8,,2,9.6,-0.04,9.64,,,9.64,9.6,-0.04,11246.0
T00011247,1,P00184,Prepared Meals,5.0,7.61,,1,7.61,-0.01,7.62,,,7.62,7.61,-0.01,11247.0
T00011248,1,P00117,Pet Food,4.32,5.66,,1,5.66,-0.01,5.67,,,5.67,5.66,-0.01,11248.0
T00011248,2,P00764,Prepared Meals,9.27,11.61,,1,11.61,-0.02,11.63,,,11.63,11.61,-0.02,11248.0
T00011248,3,P01102,Snacks/Cookies/Chips,2.59,3.37,,1,3.37,-0.01,3.38,,,3.38,3.37,-0.01,11248.0
T00011248,4,P01043,Snacks/Cookies/Chips,2.25,3.13,,1,3.13,-0.01,3.14,,,3.14,3.13,-0.01,11248.0
T00011249,1,P00846,Snacks/Cookies/Chips,1.42,2.58,,3,7.74,-0.01,7.75,,,7.75,7.74,-0.01,11249.0
T00011250,1,P00247,Deli,6.01,8.84,,1,8.84,-0.02,8.86,,,8.86,8.84,-0.02,11250.0
T00011251,1,P00046,Pet Food,6.8,10.35,,3,31.05,-0.12,31.17,,,31.17,31.05,-0.12,11251.0
T00011251,2,P00386,Alcohol,6.92,11.57,,1,11.57,-0.04,11.61,,,11.61,11.57,-0.04,11251.0
T00011251,3,P00860,Alcohol,13.88,19.81,,2,39.62,-0.15,39.77,,,39.77,39.62,-0.15,11251.0
T00011251,4,P00741,Alcohol,10.31,13.22,,2,26.44,-0.1,26.54,,,26.54,26.44,-0.1,11251.0
T00011252,1,P00644,Dairy & Eggs,1.94,2.7,,1,2.7,0.02,2.68,,,2.68,2.7,0.02,11252.0
T00011252,2,P00238,Alcohol,10.11,16.35,,1,16.35,0.1,16.25,,,16.25,16.35,0.1,11252.0
T00011252,3,P01493,Grains and Pasta,1.29,1.93,,1,1.93,0.01,1.92,,,1.92,1.93,0.01,11252.0
T00011252,4,P00424,Frozen Foods,4.17,5.35,,1,5.35,0.03,5.32,,,5.32,5.35,0.03,11252.0
T00011253,1,P00948,Alcohol,8.4,10.99,,1,10.99,-0.04,11.03,,,11.03,10.99,-0.04,11253.0
T00011253,2,P01493,Grains and Pasta,1.29,1.93,,1,1.93,-0.01,1.94,,,1.94,1.93,-0.01,11253.0
T00011253,3,P00770,Prepared Meals,5.64,8.01,,1,8.01,-0.03,8.04,,,8.04,8.01,-0.03,11253.0
T00011253,4,P00917,Snacks/Cookies/Chips,1.62,2.87,,2,5.74,-0.02,5.76,,,5.76,5.74,-0.02,11253.0
T00011253,5,P00854,Candy,0.89,1.61,,1,1.61,-0.01,1.62,,,1.62,1.61,-0.01,11253.0
T00011254,1,P00258,Alcohol,6.69,8.5,,1,8.5,-0.01,8.51,,,8.51,8.5,-0.01,11254.0
T00011255,1,P01330,Frozen Foods,5.42,7.22,,1,7.22,-0.03,7.25,,,7.25,7.22,-0.03,11255.0
T00011255,2,P00316,Meat and Seafood,5.32,9.11,,1,9.11,-0.03,9.14,,,9.14,9.11,-0.03,11255.0
T00011255,3,P00789,Baking,2.14,2.96,,1,2.96,-0.01,2.97,,,2.97,2.96,-0.01,11255.0
T00011255,4,P00111,Alcohol,7.21,9.18,,1,9.18,-0.04,9.22,,,9.22,9.18,-0.04,11255.0
T00011256,1,P01154,Deli,3.87,5.31,,1,5.31,-0.01,5.32,,,5.32,5.31,-0.01,11256.0
T00011256,2,P00384,Snacks/Cookies/Chips,2.24,3.04,,1,3.04,-0.01,3.05,,,3.05,3.04,-0.01,11256.0
T00011257,1,P00666,Snacks/Cookies/Chips,1.61,2.43,,1,2.43,0.0,2.43,,,2.43,2.43,0.0,11257.0
T00011257,2,P00998,Baking,3.55,4.68,,1,4.68,-0.01,4.69,,,4.69,4.68,-0.01,11257.0
T00011257,3,P00316,Meat and Seafood,5.32,9.11,,1,9.11,-0.02,9.13,,,9.13,9.11,-0.02,11257.0
T00011257,4,P00834,Prepared Meals,5.51,8.04,,1,8.04,-0.01,8.05,,,8.05,8.04,-0.01,11257.0
T00011258,1,P00485,Prepared Meals,8.04,10.23,,1,10.23,0.02,10.21,,,10.21,10.23,0.02,11258.0
T00011258,2,P01075,Snacks/Cookies/Chips,1.64,2.45,,3,7.35,0.02,7.33,,,7.33,7.35,0.02,11258.0
T00011258,3,P00171,Snacks/Cookies/Chips,2.28,2.89,,1,2.89,0.01,2.88,,,2.88,2.89,0.01,11258.0
T00011258,4,P01401,Meat and Seafood,7.25,9.71,1.49,2,19.42,16.45,2.97,PR00079,PRICE_POINT,2.97,19.42,16.45,11258.0
T00011259,1,P00264,Meat and Seafood,4.53,7.12,,1,7.12,-0.01,7.13,,,7.13,7.12,-0.01,11259.0
T00011260,1,P00880,Dairy & Eggs,1.79,2.35,,2,4.7,-0.01,4.71,,,4.71,4.7,-0.01,11260.0
T00011260,2,P00711,Deli,4.28,6.92,,1,6.92,-0.01,6.93,,,6.93,6.92,-0.01,11260.0
T00011260,3,P01339,Baking,2.19,3.19,,1,3.19,-0.01,3.2,,,3.2,3.19,-0.01,11260.0
T00011260,4,P00097,Candy,2.84,3.99,,1,3.99,-0.01,4.0,,,4.0,3.99,-0.01,11260.0
T00011260,5,P00719,Beverages,1.15,1.82,,2,3.64,-0.01,3.65,,,3.65,3.64,-0.01,11260.0
T00011260,6,P01389,Breakfast & Cereal,3.25,4.43,,1,4.43,-0.01,4.44,,,4.44,4.43,-0.01,11260.0
T00011260,7,P01242,Dairy & Eggs,2.43,4.05,,2,8.1,-0.01,8.11,,,8.11,8.1,-0.01,11260.0
T00011261,1,P00666,Snacks/Cookies/Chips,1.61,2.43,,1,2.43,0.01,2.42,,,2.42,2.43,0.01,11261.0
T00011262,1,P01207,Dairy & Eggs,2.4,4.14,,1,4.14,0.02,4.12,,,4.12,4.14,0.02,11262.0
T00011263,1,P01244,Beverages,2.35,3.37,,1,3.37,-0.01,3.38,,,3.38,3.37,-0.01,11263.0
T00011263,2,P01079,Deli,3.46,5.87,,1,5.87,-0.02,5.89,,,5.89,5.87,-0.02,11263.0
T00011263,3,P01373,Beverages,2.54,3.9,,1,3.9,-0.01,3.91,,,3.91,3.9,-0.01,11263.0
T00011263,4,P00498,Baking,2.81,4.1,,1,4.1,-0.02,4.12,,,4.12,4.1,-0.02,11263.0
T00011263,5,P00014,Deli,3.85,5.67,,1,5.67,-0.02,5.69,,,5.69,5.67,-0.02,11263.0
T00011264,1,P00681,Pet Food,4.11,5.47,,1,5.47,-0.01,5.48,,,5.48,5.47,-0.01,11264.0
T00011265,1,P01044,Breakfast & Cereal,3.22,5.03,,1,5.03,-0.02,5.05,,,5.05,5.03,-0.02,11265.0
T00011265,2,P00568,Dairy & Eggs,1.19,1.91,,1,1.91,-0.01,1.92,,,1.92,1.91,-0.01,11265.0
T00011266,1,P00881,Grains and Pasta,1.89,2.84,,1,2.84,0.02,2.82,,,2.82,2.84,0.02,11266.0
T00011266,2,P00729,Alcohol,7.29,9.13,,1,9.13,0.05,9.08,,,9.08,9.13,0.05,11266.0
T00011266,3,P00937,Bakery,2.19,3.68,,1,3.68,0.02,3.66,,,3.66,3.68,0.02,11266.0
T00011266,4,P00523,Alcohol,9.98,13.16,,1,13.16,0.08,13.08,,,13.08,13.16,0.08,11266.0
T00011266,5,P01228,Dairy & Eggs,1.59,2.56,,1,2.56,0.02,2.54,,,2.54,2.56,0.02,11266.0
T00011267,1,P00180,Dairy & Eggs,2.29,3.04,,1,3.04,0.02,3.02,,,3.02,3.04,0.02,11267.0
T00011267,2,P01106,Beverages,1.61,2.74,,1,2.74,0.02,2.72,,,2.72,2.74,0.02,11267.0
T00011267,3,P00462,Beverages,2.71,3.56,,1,3.56,0.02,3.54,,,3.54,3.56,0.02,11267.0
T00011267,4,P00723,Dairy & Eggs,2.39,4.02,,1,4.02,0.02,4.0,,,4.0,4.02,0.02,11267.0
T00011268,1,P01322,Prepared Meals,5.59,9.46,,3,28.38,0.17,28.21,,,28.21,28.38,0.17,11268.0
T00011268,2,P01043,Snacks/Cookies/Chips,2.25,3.13,,2,6.26,0.04,6.22,,,6.22,6.26,0.04,11268.0
T00011268,3,P00444,Candy,1.19,2.1,,1,2.1,0.01,2.09,,,2.09,2.1,0.01,11268.0
T00011269,1,P00962,Dairy & Eggs,2.02,3.48,,1,3.48,0.01,3.47,,,3.47,3.48,0.01,11269.0
T00011269,2,P00380,Candy,2.37,3.31,,1,3.31,0.01,3.3,,,3.3,3.31,0.01,11269.0
T00011270,1,P00611,Alcohol,12.73,17.36,,1,17.36,-0.03,17.39,,,17.39,17.36,-0.03,11270.0
T00011270,2,P00316,Meat and Seafood,5.32,9.11,,1,9.11,-0.02,9.13,,,9.13,9.11,-0.02,11270.0
T00011270,3,P00447,Alcohol,10.74,14.32,,3,42.96,-0.08,43.04,,,43.04,42.96,-0.08,11270.0
T00011271,1,P01347,Beverages,2.27,2.89,,1,2.89,-0.01,2.9,,,2.9,2.89,-0.01,11271.0
T00011271,2,P00526,Prepared Meals,4.97,8.09,,2,16.18,-0.06,16.24,,,16.24,16.18,-0.06,11271.0
T00011272,1,P00169,Snacks/Cookies/Chips,2.96,4.46,,1,4.46,-0.02,4.48,,,4.48,4.46,-0.02,11272.0
T00011272,2,P00276,Alcohol,8.37,11.36,,1,11.36,-0.04,11.4,,,11.4,11.36,-0.04,11272.0
T00011272,3,P01099,Alcohol,7.14,10.68,,1,10.68,-0.04,10.72,,,10.72,10.68,-0.04,11272.0
T00011272,4,P01207,Dairy & Eggs,2.4,4.14,,2,8.28,-0.03,8.31,,,8.31,8.28,-0.03,11272.0
T00011272,5,P00281,Dairy & Eggs,2.74,4.04,,1,4.04,-0.02,4.06,,,4.06,4.04,-0.02,11272.0
T00011272,6,P00417,Condiments/Sauces/Spices,2.36,3.6,,2,7.2,-0.03,7.23,,,7.23,7.2,-0.03,11272.0
T00011273,1,P00257,Alcohol,13.8,18.03,,1,18.03,-0.03,18.06,,,18.06,18.03,-0.03,11273.0
T00011273,2,P00891,Alcohol,7.01,11.34,,1,11.34,-0.02,11.36,,,11.36,11.34,-0.02,11273.0
T00011273,3,P01096,Condiments/Sauces/Spices,1.81,2.78,,1,2.78,0.0,2.78,,,2.78,2.78,0.0,11273.0
T00011273,4,P01377,Dairy & Eggs,2.77,4.64,,2,9.28,-0.02,9.3,,,9.3,9.28,-0.02,11273.0
T00011274,1,P00516,Dairy & Eggs,3.54,4.62,,1,4.62,0.03,4.59,,,4.59,4.62,0.03,11274.0
T00011275,1,P00768,Alcohol,6.29,11.13,,1,11.13,-0.04,11.17,,,11.17,11.13,-0.04,11275.0
T00011276,1,P00627,Breakfast & Cereal,2.15,3.05,,1,3.05,-0.01,3.06,,,3.06,3.05,-0.01,11276.0
T00011276,2,P00339,Snacks/Cookies/Chips,1.21,2.07,,1,2.07,0.0,2.07,,,2.07,2.07,0.0,11276.0
T00011276,3,P00927,Alcohol,9.77,12.93,,1,12.93,-0.02,12.95,,,12.95,12.93,-0.02,11276.0
T00011276,4,P00442,Deli,4.33,6.19,,1,6.19,-0.01,6.2,,,6.2,6.19,-0.01,11276.0
T00011277,1,P00805,Alcohol,9.95,16.14,,1,16.14,-0.06,16.2,,,16.2,16.14,-0.06,11277.0
T00011277,2,P00967,Snacks/Cookies/Chips,2.7,3.73,,1,3.73,-0.01,3.74,,,3.74,3.73,-0.01,11277.0
T00011277,3,P01466,Prepared Meals,5.91,7.87,,1,7.87,-0.03,7.9,,,7.9,7.87,-0.03,11277.0
T00011277,4,P01408,Condiments/Sauces/Spices,2.41,4.34,,1,4.34,-0.02,4.36,,,4.36,4.34,-0.02,11277.0
T00011278,1,P01133,Dairy & Eggs,2.19,3.82,,2,7.64,-0.03,7.67,,,7.67,7.64,-0.03,11278.0
T00011278,2,P00760,Dairy & Eggs,1.23,2.14,,2,4.28,-0.02,4.3,,,4.3,4.28,-0.02,11278.0
T00011278,3,P00846,Snacks/Cookies/Chips,1.42,2.58,,2,5.16,-0.02,5.18,,,5.18,5.16,-0.02,11278.0
T00011278,4,P00469,Dairy & Eggs,3.17,5.03,,1,5.03,-0.02,5.05,,,5.05,5.03,-0.02,11278.0
T00011279,1,P01456,Beverages,1.68,2.96,,1,2.96,0.02,2.94,,,2.94,2.96,0.02,11279.0
T00011279,2,P00666,Snacks/Cookies/Chips,1.61,2.43,,1,2.43,0.01,2.42,,,2.42,2.43,0.01,11279.0
T00011279,3,P00637,Dairy & Eggs,2.64,4.2,,1,4.2,0.02,4.18,,,4.18,4.2,0.02,11279.0
T00011280,1,P00515,Pet Food,6.19,8.11,,1,8.11,0.05,8.06,,,8.06,8.11,0.05,11280.0
T00011281,1,P00057,Beverages,1.53,2.52,,1,2.52,0.0,2.52,,,2.52,2.52,0.0,11281.0
T00011281,2,P00371,Alcohol,6.38,9.32,,1,9.32,-0.02,9.34,,,9.34,9.32,-0.02,11281.0
T00011281,3,P00265,Snacks/Cookies/Chips,2.11,2.95,,1,2.95,-0.01,2.96,,,2.96,2.95,-0.01,11281.0
T00011281,4,P00113,Breakfast & Cereal,2.36,4.26,,1,4.26,-0.01,4.27,,,4.27,4.26,-0.01,11281.0
T00011281,5,P00879,Snacks/Cookies/Chips,2.05,2.67,,3,8.01,-0.01,8.02,,,8.02,8.01,-0.01,11281.0
T00011282,1,P01034,Meat and Seafood,6.41,10.22,,1,10.22,0.06,10.16,,,10.16,10.22,0.06,11282.0
T00011282,2,P00627,Breakfast & Cereal,2.15,3.05,,1,3.05,0.02,3.03,,,3.03,3.05,0.02,11282.0
T00011282,3,P00099,Frozen Foods,3.21,5.09,,1,5.09,0.03,5.06,,,5.06,5.09,0.03,11282.0
T00011283,1,P00709,Breakfast & Cereal,2.42,3.68,,2,7.36,-0.01,7.37,,,7.37,7.36,-0.01,11283.0
T00011283,2,P01154,Deli,3.87,5.31,,1,5.31,-0.01,5.32,,,5.32,5.31,-0.01,11283.0
T00011283,3,P00340,Dairy & Eggs,3.49,4.66,,1,4.66,-0.01,4.67,,,4.67,4.66,-0.01,11283.0
T00011283,4,P00131,Alcohol,11.77,15.23,,1,15.23,-0.03,15.26,,,15.26,15.23,-0.03,11283.0
T00011284,1,P00156,Deli,2.91,5.03,,1,5.03,0.01,5.02,,,5.02,5.03,0.01,11284.0
T00011284,2,P00655,Candy,1.89,2.46,,1,2.46,0.01,2.45,,,2.45,2.46,0.01,11284.0
T00011284,3,P01458,Snacks/Cookies/Chips,1.64,2.27,,1,2.27,0.0,2.27,,,2.27,2.27,0.0,11284.0
T00011285,1,P00972,Frozen Foods,5.04,6.8,,3,20.4,-0.08,20.48,,,20.48,20.4,-0.08,11285.0
T00011285,2,P01375,Candy,1.13,1.7,,3,5.1,-0.02,5.12,,,5.12,5.1,-0.02,11285.0
T00011285,3,P00378,Snacks/Cookies/Chips,1.9,2.96,,1,2.96,-0.01,2.97,,,2.97,2.96,-0.01,11285.0
T00011286,1,P00498,Baking,2.81,4.1,,1,4.1,-0.02,4.12,,,4.12,4.1,-0.02,11286.0
T00011286,2,P01313,Condiments/Sauces/Spices,2.52,3.23,,3,9.69,-0.04,9.73,,,9.73,9.69,-0.04,11286.0
T00011286,3,P00527,Snacks/Cookies/Chips,2.63,3.53,,2,7.06,-0.03,7.09,,,7.09,7.06,-0.03,11286.0
T00011286,4,P00796,Candy,2.51,3.69,,1,3.69,-0.01,3.7,,,3.7,3.69,-0.01,11286.0
T00011286,5,P00502,Candy,1.79,2.27,,1,2.27,-0.01,2.28,,,2.28,2.27,-0.01,11286.0
T00011287,1,P00498,Baking,2.81,4.1,,1,4.1,-0.02,4.12,,,4.12,4.1,-0.02,11287.0
T00011287,2,P00038,Grains and Pasta,1.63,2.31,,2,4.62,-0.02,4.64,,,4.64,4.62,-0.02,11287.0
T00011287,3,P00301,Snacks/Cookies/Chips,1.98,3.04,,1,3.04,-0.01,3.05,,,3.05,3.04,-0.01,11287.0
T00011287,4,P00069,Meat and Seafood,5.14,9.14,,1,9.14,-0.03,9.17,,,9.17,9.14,-0.03,11287.0
T00011288,1,P01176,Beverages,3.03,4.09,,1,4.09,0.02,4.07,,,4.07,4.09,0.02,11288.0
T00011289,1,P01213,Condiments/Sauces/Spices,2.73,3.66,,1,3.66,-0.01,3.67,,,3.67,3.66,-0.01,11289.0
T00011289,2,P00276,Alcohol,8.37,11.36,,1,11.36,-0.02,11.38,,,11.38,11.36,-0.02,11289.0
T00011289,3,P00182,Dairy & Eggs,2.68,3.6,,1,3.6,-0.01,3.61,,,3.61,3.6,-0.01,11289.0
T00011289,4,P01093,Pet Food,2.97,4.27,,1,4.27,-0.01,4.28,,,4.28,4.27,-0.01,11289.0
T00011290,1,P00718,Snacks/Cookies/Chips,1.45,2.03,,3,6.09,-0.02,6.11,,,6.11,6.09,-0.02,11290.0
T00011290,2,P00915,Grains and Pasta,1.65,2.92,,1,2.92,-0.01,2.93,,,2.93,2.92,-0.01,11290.0
T00011290,3,P00523,Alcohol,9.98,13.16,,1,13.16,-0.05,13.21,,,13.21,13.16,-0.05,11290.0
T00011291,1,P00444,Candy,1.19,2.1,,1,2.1,0.01,2.09,,,2.09,2.1,0.01,11291.0
T00011291,2,P00292,Meat and Seafood,5.35,7.26,,1,7.26,0.04,7.22,,,7.22,7.26,0.04,11291.0
T00011291,3,P00723,Dairy & Eggs,2.39,4.02,,1,4.02,0.02,4.0,,,4.0,4.02,0.02,11291.0
T00011292,1,P00790,Breakfast & Cereal,3.85,5.84,,1,5.84,-0.01,5.85,,,5.85,5.84,-0.01,11292.0
T00011292,2,P01136,Deli,2.82,4.98,,1,4.98,-0.01,4.99,,,4.99,4.98,-0.01,11292.0
T00011292,3,P00706,Prepared Meals,5.29,7.71,,1,7.71,-0.01,7.72,,,7.72,7.71,-0.01,11292.0
T00011293,1,P01226,Beverages,2.87,3.99,,1,3.99,-0.01,4.0,,,4.0,3.99,-0.01,11293.0
T00011293,2,P00629,Beverages,1.54,2.75,,1,2.75,0.0,2.75,,,2.75,2.75,0.0,11293.0
T00011293,3,P00484,Alcohol,9.16,12.72,,1,12.72,-0.02,12.74,,,12.74,12.72,-0.02,11293.0
T00011293,4,P00632,Beverages,3.79,5.04,,1,5.04,-0.01,5.05,,,5.05,5.04,-0.01,11293.0
T00011293,5,P01203,Alcohol,8.68,12.07,,1,12.07,-0.02,12.09,,,12.09,12.07,-0.02,11293.0
T00011293,6,P01472,Candy,1.98,2.64,,1,2.64,0.0,2.64,,,2.64,2.64,0.0,11293.0
T00011294,1,P00985,Snacks/Cookies/Chips,1.79,2.37,,2,4.74,-0.01,4.75,,,4.75,4.74,-0.01,11294.0
T00011294,2,P00029,Baking,1.94,3.12,,1,3.12,-0.01,3.13,,,3.13,3.12,-0.01,11294.0
T00011294,3,P01112,Snacks/Cookies/Chips,2.85,4.23,,1,4.23,-0.01,4.24,,,4.24,4.23,-0.01,11294.0
T00011294,4,P00188,Prepared Meals,6.22,8.04,,1,8.04,-0.01,8.05,,,8.05,8.04,-0.01,11294.0
T00011295,1,P00537,Breakfast & Cereal,2.89,3.91,,1,3.91,0.02,3.89,,,3.89,3.91,0.02,11295.0
T00011295,2,P01110,Condiments/Sauces/Spices,2.88,4.8,,1,4.8,0.03,4.77,,,4.77,4.8,0.03,11295.0
T00011295,3,P00901,Beverages,2.19,3.66,,2,7.32,0.04,7.28,,,7.28,7.32,0.04,11295.0
T00011296,1,P00974,Frozen Foods,6.66,8.58,8.02,1,8.58,0.58,8.0,PR00138,BUNDLE,8.0,8.58,0.58,11296.0
T00011296,2,P01161,Prepared Meals,3.58,6.51,,1,6.51,0.01,6.5,,,6.5,6.51,0.01,11296.0
T00011296,3,P00666,Snacks/Cookies/Chips,1.61,2.43,,1,2.43,0.01,2.42,,,2.42,2.43,0.01,11296.0
T00011296,4,P01165,Deli,4.64,7.37,,1,7.37,0.02,7.35,,,7.35,7.37,0.02,11296.0
T00011296,5,P00152,Beverages,2.77,3.77,,1,3.77,0.01,3.76,,,3.76,3.77,0.01,11296.0
T00011297,1,P01207,Dairy & Eggs,2.4,4.14,,1,4.14,0.02,4.12,,,4.12,4.14,0.02,11297.0
T00011297,2,P01447,Dairy & Eggs,1.39,1.81,,1,1.81,0.01,1.8,,,1.8,1.81,0.01,11297.0
T00011297,3,P00945,Snacks/Cookies/Chips,2.95,4.04,,1,4.04,0.02,4.02,,,4.02,4.04,0.02,11297.0
T00011298,1,P00647,Baking,3.42,4.35,,1,4.35,-0.01,4.36,,,4.36,4.35,-0.01,11298.0
T00011298,2,P00927,Alcohol,9.77,12.93,,1,12.93,-0.02,12.95,,,12.95,12.93,-0.02,11298.0
T00011298,3,P00666,Snacks/Cookies/Chips,1.61,2.43,,3,7.29,-0.01,7.3,,,7.3,7.29,-0.01,11298.0
T00011299,1,P00658,Dairy & Eggs,2.55,3.92,,3,11.76,0.07,11.69,,,11.69,11.76,0.07,11299.0
T00011299,2,P00371,Alcohol,6.38,9.32,,1,9.32,0.06,9.26,,,9.26,9.32,0.06,11299.0
T00011299,3,P00985,Snacks/Cookies/Chips,1.79,2.37,,2,4.74,0.03,4.71,,,4.71,4.74,0.03,11299.0
T00011300,1,P00880,Dairy & Eggs,1.79,2.35,,1,2.35,0.0,2.35,,,2.35,2.35,0.0,11300.0
T00011301,1,P00051,Prepared Meals,5.12,6.54,,1,6.54,0.01,6.53,,,6.53,6.54,0.01,11301.0
T00011302,1,P00357,Beverages,2.18,3.22,,1,3.22,0.01,3.21,,,3.21,3.22,0.01,11302.0
T00011302,2,P00328,Candy,1.34,2.26,,2,4.52,0.01,4.51,,,4.51,4.52,0.01,11302.0
T00011303,1,P00208,Breakfast & Cereal,2.94,4.27,,1,4.27,-0.01,4.28,,,4.28,4.27,-0.01,11303.0
T00011303,2,P00657,Meat and Seafood,10.37,13.47,,1,13.47,-0.02,13.49,,,13.49,13.47,-0.02,11303.0
T00011304,1,P00171,Snacks/Cookies/Chips,2.28,2.89,,1,2.89,0.02,2.87,,,2.87,2.89,0.02,11304.0
T00011304,2,P00361,Baking,1.99,2.87,,1,2.87,0.02,2.85,,,2.85,2.87,0.02,11304.0
T00011304,3,P01377,Dairy & Eggs,2.77,4.64,,3,13.92,0.08,13.84,,,13.84,13.92,0.08,11304.0
T00011305,1,P01060,Condiments/Sauces/Spices,2.51,3.29,,3,9.87,0.06,9.81,,,9.81,9.87,0.06,11305.0
T00011305,2,P00497,Candy,1.32,2.18,0.49,1,2.18,1.69,0.49,PR00055,AMOUNT_OFF,0.49,2.18,1.69,11305.0
T00011306,1,P00131,Alcohol,11.77,15.23,,1,15.23,-0.03,15.26,,,15.26,15.23,-0.03,11306.0
T00011306,2,P01313,Condiments/Sauces/Spices,2.52,3.23,,2,6.46,-0.01,6.47,,,6.47,6.46,-0.01,11306.0
T00011306,3,P01232,Deli,7.99,10.12,,1,10.12,-0.02,10.14,,,10.14,10.12,-0.02,11306.0
